From Date,To Date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,BP,SR,TOT-RF,RF,Temp
01-01-2020 00:00,02-01-2020 00:00,0,446.6,65.74,103.47,119.14,70.18,8.33,3.2,12.99,1.76,9.24,,,,1.05,223.89,11.38,77.17,740.95,52.12,,1,30.86
02-01-2020 00:00,03-01-2020 00:00,0,366.34,70.28,105.24,122.96,69.4,13.2,2.74,11.02,1.61,8.94,,,,0.89,182.75,14.55,73.59,741.07,52.52,,None,31.35
03-01-2020 00:00,04-01-2020 00:00,178.18,297.2,65.28,117.06,131.81,67.61,12.66,2.5,11.24,1.33,9.17,,,,0.94,198.12,15.96,74.03,741.21,55.92,,None,31.6
04-01-2020 00:00,05-01-2020 00:00,248.89,319.67,69.16,65.91,90.4,73.12,4.52,1.85,24.55,1.26,11.76,,,,1.32,127.3,15.39,72.72,740.96,43.54,,None,32.03
05-01-2020 00:00,06-01-2020 00:00,223.05,285.81,65.4,14.28,46.45,67.12,15.71,1.26,38.96,0.8,5.79,,,,1.97,117.35,15.27,64.61,740.94,46.79,,None,31.86
06-01-2020 00:00,07-01-2020 00:00,189.55,254.32,64.46,30.66,58.53,72.07,20.92,1.48,22.76,0.82,6.65,,,,1.57,152.08,14.65,72.73,741.09,24.21,,1,31.98
07-01-2020 00:00,08-01-2020 00:00,143.4,155.07,41.15,10,30.06,65.78,9.61,0.93,5.33,0.61,3.68,,,,1.47,243.91,14.37,88.59,740.93,26.76,,1.33,31.7
08-01-2020 00:00,09-01-2020 00:00,144.79,151.63,37.38,9.28,27.48,62.82,8.28,1.19,4.59,0.63,3.95,,,,1.44,190.5,13.79,95.43,740.38,16.55,,2.9,31.69
09-01-2020 00:00,10-01-2020 00:00,112.57,137.36,40.24,6.32,26.58,46,5.19,0.72,11.76,0.5,3.23,,,,2.81,120.72,11.18,85.53,740.69,47.45,,None,31.69
10-01-2020 00:00,11-01-2020 00:00,145.03,205.03,57.15,10.07,38.64,49.12,8.97,1.1,19.36,0.67,5.74,,,,2.7,109.77,11.73,75.82,740.85,58.9,,1,31.59
11-01-2020 00:00,12-01-2020 00:00,147.46,234.86,66.66,42.29,69.88,52.87,11.89,1.47,33,0.77,6.32,,,,2.06,116.49,13.46,64.23,741.04,54.29,,None,31.61
12-01-2020 00:00,13-01-2020 00:00,245.84,347.92,90.84,64.87,101.11,69.89,15.45,1.92,30.3,1.15,8.89,,,,1.13,139.62,14.66,68.72,740.73,54.51,,None,31.66
13-01-2020 00:00,14-01-2020 00:00,267.61,278.85,56.19,23.71,49.21,80.31,10.11,1.64,14.38,1.01,5.82,,,,1.35,251.19,14.12,81.82,740.34,39.9,,None,31.49
14-01-2020 00:00,15-01-2020 00:00,170.83,196.71,42.56,6.24,27.76,67.75,7.12,1.08,11.8,0.69,3,,,,2.04,136.21,13.52,87.26,740.5,37.36,,None,31.92
15-01-2020 00:00,16-01-2020 00:00,142.97,168,45.35,7.1,29.93,57.3,6.41,1.18,14.6,0.65,2.24,,,,1.97,137.75,13.05,85.38,740.65,52.98,,1,31.84
16-01-2020 00:00,17-01-2020 00:00,137.23,158.84,46.79,13.43,35.89,55.76,7.46,0.95,6.55,0.61,2.9,,,,1.65,148.58,12.76,90.29,740.48,25.12,,7.41,31.74
17-01-2020 00:00,18-01-2020 00:00,91.53,110.34,40.41,8.66,28.31,45.62,8.28,0.73,14.05,0.42,2.96,,,,1.96,140.4,13.72,89.03,740.66,47.21,,2.4,31.73
18-01-2020 00:00,19-01-2020 00:00,128.43,173.81,52.09,25.73,48.68,42.82,8.11,1.09,10.35,0.7,4.11,,,,1.57,138.45,11.85,84.17,740.62,37.77,,1,32.24
19-01-2020 00:00,20-01-2020 00:00,166.27,210.92,46.75,7.88,31.32,54.11,7.29,1.01,19.76,0.65,3.7,,,,2.77,108.06,11.17,85.44,740.65,58.88,,1,31.94
20-01-2020 00:00,21-01-2020 00:00,183.89,260.82,53.77,38.18,59.69,58.6,7.92,1.75,19.09,0.83,5.74,,,,1.91,143.92,12.12,85.24,740.62,38.39,,None,32.11
21-01-2020 00:00,22-01-2020 00:00,237.95,317.27,59.19,50.79,72.83,65.14,10.11,1.93,11.44,0.96,8.5,,,,1.1,241.23,13.05,86.47,740.88,52.85,,None,32.14
22-01-2020 00:00,23-01-2020 00:00,196.52,252.31,56.07,24.08,49.44,58.61,5.94,1.76,12.53,1.07,7.34,,,,2.26,131.01,12.27,81.58,740.97,54.44,,1,31.71
23-01-2020 00:00,24-01-2020 00:00,80.38,149.51,43.84,4.27,26.75,42.46,7.43,0.67,34.47,0.38,3.45,,,,3.94,108.55,14.25,60.96,741.1,73.82,,None,31.96
24-01-2020 00:00,25-01-2020 00:00,94.9,175.76,56.54,9.6,37.93,41.03,10.89,0.92,39.48,0.5,4.74,,,,3.79,103.42,14.87,51.79,740.91,73.01,,None,31.69
25-01-2020 00:00,26-01-2020 00:00,200.04,285.02,82.04,26.92,65.57,60.04,11.99,1.46,31.16,0.97,8.35,,,,1.39,126.08,14.51,63.34,740.8,64.47,,None,32.25
26-01-2020 00:00,27-01-2020 00:00,253.46,341.62,72.56,67.82,93.76,67.49,12.51,1.87,30.48,0.97,6.95,,,,1.46,113.04,15.04,71.78,740.71,62.74,,None,32.08
27-01-2020 00:00,28-01-2020 00:00,254.41,344.12,85.85,94.37,122.41,65.73,11.61,2.46,16.39,1.91,8.13,,,,1.28,206.03,15.48,74.16,740.43,37.52,,1,32.18
28-01-2020 00:00,29-01-2020 00:00,115.12,125.72,42.34,10.41,31.04,49.4,9.74,0.77,26.01,0.44,2.1,,,,2.13,233.39,15.47,83.56,740.38,44.73,,2.75,31.85
29-01-2020 00:00,30-01-2020 00:00,98.87,150.61,56,23.45,48.9,44.93,8.15,1.39,18.6,0.54,4.21,,,,1.64,163.59,15.44,79.51,740.96,61.06,,None,31.86
30-01-2020 00:00,31-01-2020 00:00,81.85,124.83,50.5,5.65,31.5,39.21,11.68,0.6,29.98,0.43,3.45,,,,2.68,125.42,15.04,72.84,741.04,71.73,,None,31.79
31-01-2020 00:00,01-02-2020 00:00,98.46,155.28,53.22,8.56,35.31,36.83,6.61,0.86,34.63,0.5,4.29,,,,2.29,127.42,13.36,71.91,740.59,73.4,,None,31.93
01-02-2020 00:00,02-02-2020 00:00,120.63,174.29,48.41,25.67,46.4,41.72,10.02,1.12,25.93,0.81,2.74,,,,1.52,165.98,12.86,78.87,740.89,62.71,,None,31.79
02-02-2020 00:00,03-02-2020 00:00,129.6,194,57.18,8.97,37.77,44.42,11.76,0.78,32.89,0.54,3.78,,,,2.44,107.88,13.89,75.85,741.07,72.95,,1,31.99
03-02-2020 00:00,04-02-2020 00:00,173.94,287.83,71.71,66.39,92.16,48.68,9.8,1.46,39.88,0.83,5.69,,,,1.69,122.66,14.55,66.31,740.92,71.13,,None,31.63
04-02-2020 00:00,05-02-2020 00:00,208.24,281.95,80.58,45.55,79.95,53.46,11.15,1.46,32.91,0.87,5,,,,1.11,209.25,14.33,68.1,740.94,62.88,,None,31.92
05-02-2020 00:00,06-02-2020 00:00,146.25,206.12,54.84,11.03,38.18,45.45,13.44,0.82,38.03,0.52,3.51,,,,2.14,119.14,15.1,65.6,740.94,66.98,,None,31.66
06-02-2020 00:00,07-02-2020 00:00,141.68,219,67.16,24.83,55.94,43.07,15.55,1.19,44.87,0.6,5.59,,,,1.76,136,14.2,65.78,740.84,70.4,,None,31.76
07-02-2020 00:00,08-02-2020 00:00,137.41,199.77,61.09,23.85,51.92,43.25,8.49,0.81,36.35,0.55,3.17,,,,1.47,168.88,14.06,67.66,741,64.03,,None,31.53
08-02-2020 00:00,09-02-2020 00:00,144.16,207.22,57.72,5.65,35.34,45.81,13.16,0.8,46.16,0.51,4.17,,,,2.52,112.22,15.52,65.84,741.39,69.35,,None,31.71
09-02-2020 00:00,10-02-2020 00:00,140.4,210.73,62.55,10.54,41.88,43.54,12.03,0.88,47.65,0.56,5.04,,,,1.82,115.35,15.99,62.79,741.56,71.41,,None,32.12
10-02-2020 00:00,11-02-2020 00:00,157.59,247.76,72.28,20.47,55.14,48.37,11.78,1.11,39.34,0.63,3.86,,,,1.7,115.54,15.7,64.4,741.18,71.05,,None,31.93
11-02-2020 00:00,12-02-2020 00:00,152.8,231.51,67.34,22.93,54.5,47.59,9.29,1.03,48,0.62,4.3,,,,1.43,124.4,15.93,64.24,741.19,72.33,,None,31.96
12-02-2020 00:00,13-02-2020 00:00,167.59,276.08,65.99,4.97,39.19,53.04,13.01,0.91,44.34,0.66,4.92,,,,3.17,98.26,17.97,63.27,741.38,69.04,,None,32.73
13-02-2020 00:00,14-02-2020 00:00,95.2,208.58,46.13,2.91,26.95,42.96,15.83,0.88,52.81,0.46,4.07,,,,4.37,100.71,20.1,56.24,741.4,75.86,,None,32.87
14-02-2020 00:00,15-02-2020 00:00,66.11,196.38,40.96,2.59,23.94,34.58,9.84,0.68,54.26,0.33,3.29,,,,4.62,109.3,19.01,55.46,741.07,79.17,,None,32.76
15-02-2020 00:00,16-02-2020 00:00,88.13,207.4,55.15,11.09,38.4,33.42,13.46,0.92,55.72,0.46,4.36,,,,3.64,102.23,18.98,45.17,741.02,80.09,,None,32.81
16-02-2020 00:00,17-02-2020 00:00,139.39,238.67,72.97,27.32,61.06,44.97,20.6,1.1,54.31,0.62,5.56,,,,2.14,119.26,19.06,56.08,741.3,79.25,,None,32.27
17-02-2020 00:00,18-02-2020 00:00,169.6,293.16,84.71,43.32,80.3,48.94,16.63,1.32,42.68,0.75,8.97,,,,2.29,110.96,19.46,56.74,741.56,77.66,,None,32.82
18-02-2020 00:00,19-02-2020 00:00,137.76,289.22,76.88,60.11,88.29,39.61,18.5,1.53,62.44,0.78,9.04,,,,2.71,114.43,19.79,45,741.33,80.72,,None,33.26
19-02-2020 00:00,20-02-2020 00:00,171.74,273.29,68.27,61.72,86.53,50.44,16.66,1.54,45.85,0.97,11.04,,,,1.74,250.57,18.37,61.06,741,60.76,,None,32.17
20-02-2020 00:00,21-02-2020 00:00,140.57,215.41,39.66,3.44,23.94,49.27,17.9,0.94,57.76,0.56,2.14,,,,2.47,248.3,19.94,65.29,741.14,70.14,,2.33,32.26
21-02-2020 00:00,22-02-2020 00:00,44.92,57.61,27.44,2.08,16.33,36.21,8.09,0.64,46.03,0.23,1.19,,,,3.23,225.7,16.46,83.93,741.12,27.81,,3.25,32.35
22-02-2020 00:00,23-02-2020 00:00,60.26,118.57,47.42,52.75,68.15,38.35,7.55,1.41,27.5,0.55,4.11,,,,1.38,208.39,18.39,76.65,741.68,70.01,,None,32.39
23-02-2020 00:00,24-02-2020 00:00,102.75,154.73,44.17,8.39,30.37,46.75,7.85,0.76,32.13,0.44,2.06,,,,1.38,166.67,19.97,71.74,741.71,69.54,,None,32.46
24-02-2020 00:00,25-02-2020 00:00,57.89,105.27,46.3,4.75,28.55,36.89,9.46,0.79,30.93,0.34,2.44,,,,1.82,139.21,19.79,67.07,741.4,86.23,,None,32.77
25-02-2020 00:00,26-02-2020 00:00,119.62,188.77,61.88,12.65,43.15,46.37,14.41,0.95,37.56,0.48,4.43,,,,1.86,117.46,20.65,69.85,741.36,75.2,,None,33.02
26-02-2020 00:00,27-02-2020 00:00,197.82,296.13,73.75,45.74,76.5,57.34,22.39,1.6,36.31,0.83,9.64,,,,1.47,209.2,19.97,77.11,741.23,66.77,,None,32.88
27-02-2020 00:00,28-02-2020 00:00,144.77,206.88,52.52,11.52,37.35,57.69,13.62,1.1,21.98,0.7,3.43,,,,1.48,260.28,19.66,81.21,741.38,66.42,,None,33.29
28-02-2020 00:00,29-02-2020 00:00,117.26,158.58,37.78,3.09,22.65,49.84,14.63,0.83,29.31,0.47,1.37,,,,2.07,257.97,20,79.86,741.29,68.15,,None,33.57
29-02-2020 00:00,01-03-2020 00:00,78.52,111.11,35.35,2.8,21.13,39.36,11.6,0.8,29.92,0.37,1.53,,,,2.59,246.28,19.23,82.48,741.15,62.77,,8.07,33.58
01-03-2020 00:00,02-03-2020 00:00,47.98,92.27,53.39,33.89,55.71,34.21,12.89,1.16,40.48,0.37,3.58,,,,1.37,234.22,19.85,75.66,741.16,88.7,,None,33.49
02-03-2020 00:00,03-03-2020 00:00,116.03,204.65,66.84,49.42,75.76,47.83,9.27,1.52,41.13,0.67,5.14,,,,1.05,152.97,21.6,72.53,741.4,79.75,,None,33.08
03-03-2020 00:00,04-03-2020 00:00,93.71,175.32,57.38,21.92,48.44,39.67,10.33,0.97,28.85,0.52,3.5,,,,1.58,149.72,21.82,63.07,741.25,89.52,,None,33.27
04-03-2020 00:00,05-03-2020 00:00,96.96,167.59,53.68,21.39,45.97,39,15.23,0.91,40.04,0.44,3.87,,,,1.74,242.41,21,66.38,741.06,79.55,,5,33.47
05-03-2020 00:00,06-03-2020 00:00,34.76,59.85,35.31,10.38,27.3,29.01,9.1,0.69,33.38,0.24,1.66,,,,2.72,226.38,19.55,73.82,740.9,78.66,,2.94,32.98
06-03-2020 00:00,07-03-2020 00:00,16.44,29.38,28.04,6.1,19.87,25.21,7.19,0.77,37.33,0.13,1.64,,,,3.24,240.09,16.43,85.71,740.28,67.66,,9.71,32.17
07-03-2020 00:00,08-03-2020 00:00,50.98,91.2,45.01,37.26,54.22,31.77,10.22,1.49,24.32,0.27,4.05,,,,1.85,244.68,17.12,84.59,740.88,64.84,,None,32.33
08-03-2020 00:00,09-03-2020 00:00,94.56,146.41,52.58,36.03,57.29,37.44,5.06,0.96,0,0.57,4.72,,,,1.92,141.24,18.1,64.69,741.26,83.82,,1,32.2
09-03-2020 00:00,10-03-2020 00:00,50.66,120.14,44.96,5.46,28.39,29.12,9.1,0.73,14.54,0.26,2.1,,,,3.35,113.83,19.57,59.6,741.19,108.32,,None,32.42
10-03-2020 00:00,11-03-2020 00:00,94.95,156.73,51.23,12.48,37.45,35.29,12.87,1.39,31.24,0.35,2.57,,,,1.65,185.76,19.7,60.06,741.03,90.42,,None,31.88
11-03-2020 00:00,12-03-2020 00:00,68.09,108.15,40.17,10.43,29.9,39.2,9.75,1.42,34.3,0.29,1.89,,,,2.52,257.35,20.91,69.16,741.05,87.07,,1,32.42
12-03-2020 00:00,13-03-2020 00:00,77.84,161.61,58.06,53.03,73.99,39.11,10.82,3.06,19.87,0.39,2.91,,,,1.83,221.29,21.93,69.91,741.38,86.17,,None,32.25
13-03-2020 00:00,14-03-2020 00:00,75.46,177.81,62.08,48.64,72.57,34.81,15.1,1.26,28.44,0.36,5.47,,,,1.65,209.38,21.37,60.14,741.46,86.31,,None,32.12
14-03-2020 00:00,15-03-2020 00:00,41.3,69.24,49.41,20.08,42.67,31.59,7.69,0.76,19.79,0.28,2.93,,,,1.86,218.9,17.95,82.8,741.17,65.67,,11.17,32.22
15-03-2020 00:00,16-03-2020 00:00,65.48,107.24,49.25,20.67,43.04,32.54,8.18,0.67,34.67,0.44,3.87,,,,1.56,179.93,18.61,72.08,741.32,100.02,,1,32.21
16-03-2020 00:00,17-03-2020 00:00,66.72,161.47,55.42,7.22,35.39,32.8,14.21,0.79,37.49,0.37,3.3,,,,2.55,109.69,20.64,66.39,741.54,87.29,,None,32.3
17-03-2020 00:00,18-03-2020 00:00,60.24,140.93,55.75,7.85,36.08,30.71,15.25,0.83,44.15,0.37,3.96,,,,2.67,120.84,22.23,59.34,741.86,107.58,,None,33.05
18-03-2020 00:00,19-03-2020 00:00,80.2,166.92,59.17,9.54,39.27,33.72,22.99,0.97,42.06,0.48,3.76,,,,2.4,126.86,23.18,59.7,741.71,104.64,,None,33.74
19-03-2020 00:00,20-03-2020 00:00,126.8,236.55,66.21,25.53,56.01,41.57,24.05,1.02,43.54,0.62,4.53,,,,1.56,136.72,23.55,66.68,741.56,91,,None,33.59
20-03-2020 00:00,21-03-2020 00:00,103.38,228.6,75.46,40.7,73.27,39.05,18.71,1.33,42.12,0.57,5.97,,,,1.39,228.54,24.46,60.11,741.46,90.16,,None,33.57
21-03-2020 00:00,22-03-2020 00:00,118.92,256.8,75.38,32.29,66.4,43.96,19.28,1.34,30.86,0.58,8.59,,,,1.43,175.83,24.25,62.95,741.54,83.99,,None,33.91
22-03-2020 00:00,23-03-2020 00:00,107.75,155.28,44.09,9.7,31.39,41.05,18.18,0.86,30.8,0.55,2.33,,,,1.65,168.16,24.02,60.54,741.72,99.94,,None,33.78
23-03-2020 00:00,24-03-2020 00:00,76.67,134.77,49.45,11.03,35.31,34.47,16.71,0.88,32.53,0.51,2.51,,,,1.38,163.14,25.11,52.54,741.76,101.31,,None,33.66
24-03-2020 00:00,25-03-2020 00:00,65.68,124.51,43.38,11.31,32.32,34.99,12.75,1.59,26.29,0.75,2.3,,,,1.75,197,24.29,60.08,741.57,76.61,,4.08,33.1
25-03-2020 00:00,26-03-2020 00:00,48.93,79.69,33.36,8.64,24.82,38.57,11.68,0.79,26.84,0,0,,,,1.74,133.22,25.27,63.46,741.76,108.48,,None,33
26-03-2020 00:00,27-03-2020 00:00,39.92,81.16,24.96,3.93,16.51,36.03,10.65,0.44,26.78,0,0,,,,3.11,104.93,24.92,63.38,741.61,80.55,,None,32.96
27-03-2020 00:00,28-03-2020 00:00,27.35,48.07,23.91,7.15,18.57,31.63,8.05,0.62,24.44,0,0,,,,2.31,182.05,22,75.52,741.36,54.39,,1.91,33.17
28-03-2020 00:00,29-03-2020 00:00,21.84,38.18,26.39,6.15,19.08,31.42,8.98,0.28,24.08,0.11,0.85,,,,2.47,156.89,22.26,70.54,741.56,116.59,,1,33.97
29-03-2020 00:00,30-03-2020 00:00,23.08,56.3,21.89,1.94,13.26,25.69,10.1,0.4,39.73,0.11,0.72,,,,3.74,121.6,24.11,56.56,741.46,119.06,,None,33.93
30-03-2020 00:00,31-03-2020 00:00,34.09,69.34,24.5,2.19,14.86,24.95,13.55,0.46,44.36,0.16,0.91,,,,3.04,116.8,23.98,53.1,741.6,119.02,,None,33.48
31-03-2020 00:00,01-04-2020 00:00,48.79,81.21,26.46,2.66,16.28,26.93,13.97,0.56,44.14,0.19,1.06,,,,2.71,131.05,24.79,53.53,741.73,104.72,,2,32.56
01-04-2020 00:00,02-04-2020 00:00,0,72.61,27.11,5.13,18.64,27.6,12.23,0.64,36.91,0.2,1.31,,,,2.13,147.73,25.6,54.31,741.7,112.74,,None,32.65
02-04-2020 00:00,03-04-2020 00:00,0,68.76,21.62,2.04,13.21,24.94,12.29,0.52,44.5,0.19,0.82,,,,3.09,127.96,24.98,51.58,741.48,120.72,,None,32.42
03-04-2020 00:00,04-04-2020 00:00,0,66.02,25.6,1.93,15.21,20.11,13.49,0.51,60.85,0.14,0.97,,,,2.86,115.04,24.62,38.24,741.54,122.16,,None,32.43
04-04-2020 00:00,05-04-2020 00:00,0,89.96,33.55,3.86,21.02,26.53,15.6,0.72,50.25,0.25,1.63,,,,2.26,118.04,25.42,41.78,741.82,123.23,,None,32.58
05-04-2020 00:00,06-04-2020 00:00,0,126.38,35.36,5.62,23.42,32.72,18.69,0.95,50.35,0.45,1.73,,,,1.6,175.62,26.13,46.33,742,112.04,,None,32.54
06-04-2020 00:00,07-04-2020 00:00,0,136.92,34.63,6.41,23.68,34.65,14.64,0.92,44.97,0.46,1.94,,,,1.73,145.78,28.32,42.16,742.03,117.89,,None,33.1
07-04-2020 00:00,08-04-2020 00:00,0,114.14,25.18,2.06,15.11,29.04,13.53,0.5,50.63,0.22,0.96,,,,2.98,133.88,27.05,44.25,741.67,114.51,,None,32.39
08-04-2020 00:00,09-04-2020 00:00,58.88,110.07,25.29,2.56,15.55,29.33,19.56,0.6,51.08,0.3,1.12,,,,2.77,136.39,26.44,39.19,741.72,116.83,,None,32.88
09-04-2020 00:00,10-04-2020 00:00,47.19,104.46,30.07,2.94,18.43,29.64,17.41,0.67,52.55,0.27,1.19,,,,2.26,112.81,26.5,40.58,741.81,113.73,,None,33.04
10-04-2020 00:00,11-04-2020 00:00,77.66,140.79,38.34,6.28,25.54,33.9,23.03,0.87,46.94,0.53,2.17,,,,1.4,138.78,28.83,36.06,742.1,118.09,,None,33.95
11-04-2020 00:00,12-04-2020 00:00,93.6,173.44,38.04,7.62,26.47,37.38,20.36,0.98,48.36,0.71,2.19,,,,1.49,160.61,30.26,38.01,742.4,109.79,,None,33.79
12-04-2020 00:00,13-04-2020 00:00,37.12,102.26,27.57,2.15,16.46,31.37,15.39,0.57,54.16,0.2,1.13,,,,2.65,114.41,29.86,36.22,742.15,119.19,,None,33.66
13-04-2020 00:00,14-04-2020 00:00,69.55,157.25,37.42,6.01,24.84,36.97,24.47,0.85,50.9,0.35,2.23,,,,1.93,92.24,31.59,34.17,742.1,116.16,,None,32.45
14-04-2020 00:00,15-04-2020 00:00,70.64,173.74,42,8.55,29.34,38.85,22.27,0.92,43.56,0.42,2.24,,,,0.93,186.99,32.38,35.34,742.18,95.49,,None,33.24
15-04-2020 00:00,16-04-2020 00:00,72.93,235.2,43.61,9.43,30.9,38.76,14.74,0.94,42.54,0.41,2.5,,,,1.35,207.86,31.8,35.35,742.04,102.41,,None,33.04
16-04-2020 00:00,17-04-2020 00:00,118.24,277.88,40,6.22,26.38,42.12,35.32,1.03,49.63,0.68,2.34,,,,1.85,152.48,32.12,32.9,742.01,101.27,,None,33.05
17-04-2020 00:00,18-04-2020 00:00,36.85,124.05,28.84,3.52,18.25,32.1,14.14,0.62,56.14,0.27,1.15,,,,2.39,179.2,30.86,32.8,741.77,98.67,,None,33.49
18-04-2020 00:00,19-04-2020 00:00,24.17,104.62,27.91,5.69,19.52,32.4,9.98,0.71,52.26,0.16,1.15,,,,2.22,226.28,28.73,43.7,741.79,100.58,,1.5,32.59
19-04-2020 00:00,20-04-2020 00:00,40.21,91.99,32.04,4.63,20.84,34.63,14.39,0.56,46,0.29,1.45,,,,2.12,153.65,28.4,43.47,741.76,116.93,,None,33.14
20-04-2020 00:00,21-04-2020 00:00,53.5,121.35,36.64,7.02,25.24,35.24,11.28,1.12,39.44,0.31,1.63,,,,1.68,183.56,27,43.56,741.5,63.73,,None,32.94
21-04-2020 00:00,22-04-2020 00:00,51.1,122.13,33.3,5.72,22.4,34.78,13.28,0.66,49.09,0.46,1.48,,,,1.84,150.68,27.8,43.82,741.89,111.53,,None,33.3
22-04-2020 00:00,23-04-2020 00:00,117.62,215.9,44.36,7.02,29.29,39.18,30.34,1.15,45.72,0.75,2.02,,,,1.21,161.76,28.84,36.73,741.84,115.27,,None,32.55
23-04-2020 00:00,24-04-2020 00:00,55.01,137.16,44.16,12.14,33.39,34.27,14.52,1.13,45.25,0.3,3.39,,,,1.49,178.5,29.25,36.46,741.64,71.89,,None,33.51
24-04-2020 00:00,25-04-2020 00:00,67.94,144.14,42.42,10.38,31.04,40.14,11.76,1.95,47.7,0.36,3.1,,,,1.21,225.01,29.45,43.01,741.65,115.12,,None,33.03
25-04-2020 00:00,26-04-2020 00:00,40.08,117.79,39.05,7.07,26.56,35.37,11.45,1.83,49.54,0.2,2.61,,,,1.34,197.59,30.68,36.76,741.73,100.31,,None,32.05
26-04-2020 00:00,27-04-2020 00:00,51.15,150.96,26.71,6.65,19.65,38.9,9.43,1.46,47.23,0.24,1.16,,,,2.42,244.84,25.32,60.71,741.25,67.03,,1,32.99
27-04-2020 00:00,28-04-2020 00:00,29.29,57.02,25.64,6.58,19.03,40.06,11.79,1.5,38.87,0.14,1.31,,,,2.8,249.89,25.47,67.11,741.95,114.46,,None,33.17
28-04-2020 00:00,29-04-2020 00:00,45.31,88.4,31.69,9.84,24.9,39.59,11.93,0.65,41.63,0.2,1.72,,,,1.59,229.09,27.7,57.64,742.01,106.51,,None,33.95
29-04-2020 00:00,30-04-2020 00:00,58.01,119.99,33.6,10.84,26.73,42.54,8.39,0.89,47.37,0.23,3.4,,,,1.44,227.84,30.02,53.26,742.06,104.04,,None,33.43
30-04-2020 00:00,01-05-2020 00:00,54.07,108.22,33.81,10.18,26.3,46.27,9.23,1.7,43.4,0.19,1.98,,,,1.49,215.75,30.29,57.57,741.84,109.22,,12.33,33.17
01-05-2020 00:00,02-05-2020 00:00,56.9,126.82,29.21,12.66,25.87,59.45,7.97,0.76,35.42,0.18,1.79,,,,1.88,241.72,29.67,64.41,741.77,114.31,,None,34.08
02-05-2020 00:00,03-05-2020 00:00,32.53,99.41,24.26,7.52,19.06,42.97,8.12,0.74,40.54,0.12,1.44,,,,2.69,249.36,29.54,58.29,741.66,114.35,,None,33.99
03-05-2020 00:00,04-05-2020 00:00,40.17,95.51,24.19,8.6,19.9,39.85,8.07,0.71,34.55,0.16,1.41,,,,2.36,220.97,27.55,67.73,741.45,62.6,,1.83,33.48
04-05-2020 00:00,05-05-2020 00:00,28.52,68.25,28.98,8.37,22.27,32.71,10.22,0.57,42.03,0.17,1.22,,,,1.58,207.95,27.7,61.19,741.84,116.53,,None,32.61
05-05-2020 00:00,06-05-2020 00:00,71.73,143.61,35.15,8.9,25.98,36.63,15.24,0.69,44.41,0.38,1.54,,,,1.63,183.92,30.63,47.91,741.9,119.67,,None,33.16
06-05-2020 00:00,07-05-2020 00:00,51.94,140.85,35.28,8.26,25.52,35.19,10.96,0.79,47.23,0.22,1.7,,,,1.69,223.91,28.84,52.12,741.62,91.74,,None,33.08
07-05-2020 00:00,08-05-2020 00:00,21.75,89.53,36.27,7.97,25.82,29.16,8.92,0.97,61.76,0.13,1.8,,,,1.99,215.61,28.73,44.12,741.76,127.76,,2,32.48
08-05-2020 00:00,09-05-2020 00:00,49.36,115.42,37.87,10.43,28.48,37.85,11.06,0.82,63.85,0.18,2.77,,,,1.69,194.53,31.41,46.61,741.89,121.66,,None,32.8
09-05-2020 00:00,10-05-2020 00:00,64.21,137.8,32,6.08,22,44.06,11.58,0.77,68.76,0.19,2.81,,,,1.91,235.51,32.51,48.41,742.09,112.5,,None,32.28
10-05-2020 00:00,11-05-2020 00:00,49.09,95.26,29.19,7.14,21.37,37.64,11.22,1.19,40.94,0.16,1.25,,,,2.35,239.12,26.84,63.21,741.33,54.88,,8,31.89
11-05-2020 00:00,12-05-2020 00:00,42.02,85.8,32.18,8.64,24.19,38.23,14.81,0.69,40.49,0.17,1.41,,,,1.88,246,27.5,62.91,741.9,106.67,,None,32.18
12-05-2020 00:00,13-05-2020 00:00,45.47,94.91,28.81,7.63,21.57,39.24,13.97,1.17,44.52,0.17,1.25,,,,1.74,236.26,29.48,56.52,741.86,94.91,,None,32.06
13-05-2020 00:00,14-05-2020 00:00,75.63,188.59,36.73,8.91,26.82,43.98,17.58,0.85,28.6,0.24,5.02,,,,1.25,199.14,29.8,58.03,741.69,74.52,,None,32.31
14-05-2020 00:00,15-05-2020 00:00,62.3,147.27,46.25,15.63,37.36,40.94,15.37,0.73,41.37,0.19,3.49,,,,1.72,164.86,30.42,53.23,741.8,108.81,,8,32.16
15-05-2020 00:00,16-05-2020 00:00,58.31,126.07,37.44,4.35,23.5,36.6,20.27,0.57,47.14,0.23,1,,,,2.56,130.53,31.35,41.48,741.93,126.75,,3.5,31.97
16-05-2020 00:00,17-05-2020 00:00,76.67,154.17,47.83,6.03,30.39,34.35,25,0.86,55.13,0.22,1.33,,,,2.4,127.3,32.67,33.31,741.84,133.23,,None,32
17-05-2020 00:00,18-05-2020 00:00,94.87,188.32,56.38,12.77,40.41,33.7,30.45,0.92,50.6,0.25,2.21,,,,1.87,109.43,33.94,27.76,741.81,111.65,,None,32.08
18-05-2020 00:00,19-05-2020 00:00,121.11,0,60.17,10.63,40.69,35.07,31.56,1.07,47.23,0.33,2.21,,,,1.73,119.6,33.73,26.23,741.84,120.49,,None,31.64
